Date,Location of Dumpster,Frequency of Waste Collection (days),Volume of Waste Collected (Tonnes),Volume of Waste Collected (Kg),Types of Waste,Operational Schedule
2023-01-04,Ilesha Garage,1,0.028459853908270313,36.07410104207495,MSW,Wednesday
2023-01-04,Ilesha Road,1,0.01726994662800113,34.49401847169776,MSW,Wednesday
2023-01-04,Oja Oba,1,0.03621491902978516,15.217566728828794,MSW,Wednesday
2023-01-04,Station Road,1,0.029980168866926865,17.686766842049074,MSW,Wednesday
2023-01-04,Dada Estate,1,0.010657455738560855,28.8361282039653,MSW,Wednesday
2023-01-04,Dele Yes Sir,1,0.01945203919239804,15.487335175669354,MSW,Wednesday
2023-01-04,West Byebass,1,0.03435974163317131,36.08100307896649,MSW,Wednesday
2023-01-04,Testing Ground,1,0.014595124946050368,15.525862943010363,MSW,Wednesday
2023-01-04,Stadium,1,0.03883598168905495,10.742727784306801,MSW,Wednesday
2023-01-04,Power Line,1,0.012165174378669673,20.955854486110866,MSW,Wednesday
2023-01-04,Kobo,1,0.03738265609150438,13.659641627014203,MSW,Wednesday
2023-01-04,Ota Efun,1,0.03320342156032547,31.92665441053013,MSW,Wednesday
2023-01-04,Aregbe,1,0.01168348084933322,18.82060597277015,MSW,Wednesday
2023-01-04,Igbona,1,0.021702063360560735,22.389467380201474,MSW,Wednesday
2023-01-04,MDS,1,0.026458730067710046,20.29524269439495,MSW,Wednesday
2023-01-05,Owode ede,1,0.01934715386579627,30.971958359473376,MSW,Thursday
2023-01-05,Abere,1,0.03648067166764079,17.17305496592541,MSW,Thursday
2023-01-05,Old Garage,1,0.03761837683213196,38.35633290948357,MSW,Thursday
2023-01-05,Alekuwodo,1,0.021742066615612326,17.31492148489867,MSW,Thursday
2023-01-05,Odi olowo,1,0.03012192637408269,11.194809862979401,MSW,Thursday
2023-01-05,Ilesha Garage,1,0.03155310336374452,11.765172466078525,MSW,Thursday
2023-01-05,Ilesha Road,1,0.02257053252859774,39.68421519703881,MSW,Thursday
2023-01-05,Oja Oba,1,0.03889091898259993,14.00001487666633,MSW,Thursday
2023-01-05,Station Road,1,0.033381896994951095,24.976585052616635,MSW,Thursday
2023-01-05,Dada Estate,1,0.022857235057301067,29.253624966207227,MSW,Thursday
2023-01-05,Dele Yes Sir,1,0.027456057808266862,13.103217153207886,MSW,Thursday
2023-01-05,West Byebass,1,0.034677142626320503,38.598075711723254,MSW,Thursday
2023-01-05,Testing Ground,1,0.01882359109494669,39.72952553288283,MSW,Thursday
2023-01-05,Stadium,1,0.036418477152234514,28.908230669489217,MSW,Thursday
2023-01-05,Power Line,1,0.028642819007174677,16.56810556573854,MSW,Thursday
2023-01-05,Kobo,1,0.019674767836254815,17.13061360797493,MSW,Thursday
2023-01-05,Ota Efun,1,0.015554999395756539,12.625231728029945,MSW,Thursday
2023-01-05,Aregbe,1,0.012509640534108843,23.985039510513825,MSW,Thursday
2023-01-05,Igbona,1,0.027164048673112125,26.056139851549265,MSW,Thursday
2023-01-05,MDS,1,0.028276687830981674,23.741278447160365,MSW,Thursday
2023-01-06,Owode ede,1,0.025136842609765456,23.8597713297024,MSW,Friday
2023-01-06,Abere,1,0.034559428384682435,39.33244952024019,MSW,Friday
2023-01-06,Old Garage,1,0.01803805162454067,21.54303126856611,MSW,Friday
2023-01-06,Alekuwodo,1,0.03450991028662568,37.29166441629647,MSW,Friday
2023-01-06,Odi olowo,1,0.029257949602893227,20.02458327129282,MSW,Friday
2023-01-06,Ilesha Garage,1,0.011626859843709637,33.25803894858137,MSW,Friday
2023-01-06,Ilesha Road,1,0.021402012198301776,19.02523762393738,MSW,Friday
2023-01-06,Oja Oba,1,0.03509420669754458,36.256553403058234,MSW,Friday
2023-01-06,Station Road,1,0.025790995779555702,31.486165920310132,MSW,Friday
2023-01-06,Dada Estate,1,0.03746808194285445,27.27486427198441,MSW,Friday
2023-01-06,Dele Yes Sir,1,0.02626899194441592,22.137337242348806,MSW,Friday
2023-01-06,West Byebass,1,0.031485060658872,16.800572627750125,MSW,Friday
2023-01-06,Testing Ground,1,0.014592499227815182,32.87142399851908,MSW,Friday
2023-01-06,Stadium,1,0.017827131561376358,21.795199787121287,MSW,Friday
2023-01-06,Power Line,1,0.013419352250593253,16.651360644497366,MSW,Friday
2023-01-06,Kobo,1,0.025683920380261835,14.762693711891167,MSW,Friday
2023-01-06,Ota Efun,1,0.025476007393066966,27.10985230531439,MSW,Friday
2023-01-06,Aregbe,1,0.014215703419470784,25.944842193692047,MSW,Friday
2023-01-06,Igbona,1,0.013851409703056873,17.112333675465003,MSW,Friday
2023-01-06,MDS,1,0.018218319017079234,37.9379065272683,MSW,Friday
2023-01-07,Owode ede,1,0.03453325123251818,10.064844268895808,MSW,Saturday
2023-01-07,Abere,1,0.028877626582378253,32.65393782816942,MSW,Saturday
2023-01-07,Old Garage,1,0.032429015586503365,10.253386645226035,MSW,Saturday
2023-01-07,Alekuwodo,1,0.010761966582800042,33.692781334462,MSW,Saturday
2023-01-07,Odi olowo,1,0.01725396155309419,10.070732965072265,MSW,Saturday
2023-01-07,Ilesha Garage,1,0.02035266508928247,10.557888757380766,MSW,Saturday
2023-01-07,Ilesha Road,1,0.010609801673171134,22.122188559582558,MSW,Saturday
2023-01-07,Oja Oba,1,0.030683943088675433,33.83639028893489,MSW,Saturday
2023-01-07,Station Road,1,0.025879902014842714,35.07405299667596,MSW,Saturday
2023-01-07,Dada Estate,1,0.03506370369770029,25.47215376332044,MSW,Saturday
2023-01-07,Dele Yes Sir,1,0.03203726341145456,36.4951896111062,MSW,Saturday
2023-01-07,West Byebass,1,0.03685748846974384,35.608573228397894,MSW,Saturday
2023-01-07,Testing Ground,1,0.03573724890533645,28.20423023548545,MSW,Saturday
2023-01-07,Stadium,1,0.01863499597535528,24.19519320325744,MSW,Saturday
2023-01-07,Power Line,1,0.013654421805027371,25.620301105355228,MSW,Saturday
2023-01-07,Kobo,1,0.020526720587459156,31.555101007316498,MSW,Saturday
2023-01-07,Ota Efun,1,0.01874376031893229,38.474457751971045,MSW,Saturday
2023-01-07,Aregbe,1,0.013328004069161297,25.1592359245531,MSW,Saturday
2023-01-07,Igbona,1,0.011304984803054441,28.760160021641845,MSW,Saturday
2023-01-07,MDS,1,0.02410699911336079,35.62931767412715,MSW,Saturday
2023-01-08,Owode ede,1,0.036038089504166336,35.21676342412472,MSW,Sunday
2023-01-08,Abere,1,0.024041348778186145,30.829787246626882,MSW,Sunday
2023-01-08,Old Garage,1,0.023484085955717087,34.49775453851518,MSW,Sunday
2023-01-08,Alekuwodo,1,0.038680348921106174,24.08487829662205,MSW,Sunday
2023-01-08,Odi olowo,1,0.029315304339101497,21.131557778182447,MSW,Sunday
2023-01-08,Ilesha Garage,1,0.02196765427723865,17.039091816173002,MSW,Sunday
2023-01-08,Ilesha Road,1,0.03821351228860557,39.49985413794677,MSW,Sunday
2023-01-08,Oja Oba,1,0.023392496364073256,32.76181290162438,MSW,Sunday
2023-01-08,Station Road,1,0.01976361746556705,35.796838190079995,MSW,Sunday
2023-01-08,Dada Estate,1,0.037209911695131,39.79830359543023,MSW,Sunday
2023-01-08,Dele Yes Sir,1,0.028072400416513148,31.926595522907704,MSW,Sunday
2023-01-08,West Byebass,1,0.014784272158578263,35.58673329007004,MSW,Sunday
2023-01-08,Testing Ground,1,0.021732224510678164,14.657558458208705,MSW,Sunday
2023-01-08,Stadium,1,0.017438767505353555,27.822406484793728,MSW,Sunday
2023-01-08,Power Line,1,0.0157649595420449,39.610533832639234,MSW,Sunday
2023-01-08,Kobo,1,0.01929327369448927,38.39299220273489,MSW,Sunday
2023-01-08,Ota Efun,1,0.023730168952712398,38.88147323127742,MSW,Sunday
2023-01-08,Aregbe,1,0.03153397226957861,32.40204551512055,MSW,Sunday
2023-01-08,Igbona,1,0.010430763666522349,16.57737872288499,MSW,Sunday
2023-01-08,MDS,1,0.023431149010851103,36.04238914781917,MSW,Sunday
2023-01-09,Owode ede,1,0.02685704923106868,13.855632340561552,MSW,Monday
2023-01-09,Abere,1,0.013623098630882869,36.675097816382355,MSW,Monday
2023-01-09,Old Garage,1,0.024264569521306338,22.93759456392604,MSW,Monday
2023-01-09,Alekuwodo,1,0.02149796542234645,17.492292542656873,MSW,Monday
2023-01-09,Odi olowo,1,0.026061256853420887,19.493071175171593,MSW,Monday
2023-01-09,Ilesha Garage,1,0.013039447966713049,15.905899613015535,MSW,Monday
2023-01-09,Ilesha Road,1,0.01690406521951623,25.5829376441115,MSW,Monday
2023-01-09,Oja Oba,1,0.021665726453021658,23.923021376208723,MSW,Monday
2023-01-09,Station Road,1,0.010543479833364759,26.237407055591103,MSW,Monday
2023-01-09,Dada Estate,1,0.03471057888180104,21.0388314059231,MSW,Monday
2023-01-09,Dele Yes Sir,1,0.03486002506523868,32.84579261237112,MSW,Monday
2023-01-09,West Byebass,1,0.023021338162007996,23.46237772911583,MSW,Monday
2023-01-09,Testing Ground,1,0.03783916305156145,26.566624772955617,MSW,Monday
2023-01-09,Stadium,1,0.024749967315467924,39.30728196013845,MSW,Monday
2023-01-09,Power Line,1,0.03275112728389644,27.853299958357,MSW,Monday
2023-01-09,Kobo,1,0.010138409190143097,14.018982661651766,MSW,Monday
2023-01-09,Ota Efun,1,0.039461020553575206,12.044506225214718,MSW,Monday
2023-01-09,Aregbe,1,0.033005299591659695,21.698532708059588,MSW,Monday
2023-01-09,Igbona,1,0.014015003730648701,12.902842173480739,MSW,Monday
2023-01-09,MDS,1,0.032900645185131826,17.11005120339953,MSW,Monday
2023-01-10,Owode ede,1,0.022187668563549347,26.11111798747537,MSW,Tuesday
2023-01-10,Abere,1,0.024201123257817946,32.646307387506404,MSW,Tuesday
2023-01-10,Old Garage,1,0.013992041984407826,37.123975380362694,MSW,Tuesday
2023-01-10,Alekuwodo,1,0.020429791731257627,27.572988998436415,MSW,Tuesday
2023-01-10,Odi olowo,1,0.03127378455715095,20.68927120704214,MSW,Tuesday
2023-01-10,Ilesha Garage,1,0.015765689623994904,19.672080478513788,MSW,Tuesday
2023-01-10,Ilesha Road,1,0.021647118074364986,37.24088833589994,MSW,Tuesday
2023-01-10,Oja Oba,1,0.019548813927525673,35.70520928444355,MSW,Tuesday
2023-01-10,Station Road,1,0.026590192984631535,11.778500671988315,MSW,Tuesday
2023-01-10,Dada Estate,1,0.032817274070782505,27.222524058402087,MSW,Tuesday
2023-01-10,Dele Yes Sir,1,0.014912622951850906,11.53874040048692,MSW,Tuesday
2023-01-10,West Byebass,1,0.0389165804104268,14.55585397430311,MSW,Tuesday
2023-01-10,Testing Ground,1,0.019993635113257302,20.288756533223687,MSW,Tuesday
2023-01-10,Stadium,1,0.02576378124972819,25.648160759428414,MSW,Tuesday
2023-01-10,Power Line,1,0.013208306638554018,28.02616151715036,MSW,Tuesday
2023-01-10,Kobo,1,0.01943470606605953,21.598609702651856,MSW,Tuesday
2023-01-10,Ota Efun,1,0.025265458656322716,33.1489735371359,MSW,Tuesday
2023-01-10,Aregbe,1,0.02814312994474808,12.952520264968761,MSW,Tuesday
2023-01-10,Igbona,1,0.03785137169989886,10.53061116557329,MSW,Tuesday
2023-01-10,MDS,1,0.0252674639748803,15.73549714574273,MSW,Tuesday
2023-01-11,Owode ede,1,0.02984730176684488,15.741059477613355,MSW,Wednesday
2023-01-11,Abere,1,0.0149299257888163,20.955499324224814,MSW,Wednesday
2023-01-11,Old Garage,1,0.03606051753368483,16.03513426827359,MSW,Wednesday
2023-01-11,Alekuwodo,1,0.028225432165378365,27.585441357315283,MSW,Wednesday
2023-01-11,Odi olowo,1,0.02413970576932984,29.29511611828203,MSW,Wednesday
2023-01-11,Ilesha Garage,1,0.03403297420821504,26.652423296471625,MSW,Wednesday
2023-01-11,Ilesha Road,1,0.015116560447368404,37.71978857550447,MSW,Wednesday
2023-01-11,Oja Oba,1,0.012015410624744092,29.076621245338465,MSW,Wednesday
2023-01-11,Station Road,1,0.018410394864221483,23.614149581041673,MSW,Wednesday
2023-01-11,Dada Estate,1,0.0247231861653093,18.66229470534528,MSW,Wednesday
2023-01-11,Dele Yes Sir,1,0.014565536000787572,21.111253006256916,MSW,Wednesday
2023-01-11,West Byebass,1,0.028864766810287504,10.679903639280308,MSW,Wednesday
2023-01-11,Testing Ground,1,0.029703963160372493,18.6110856783301,MSW,Wednesday
2023-01-11,Stadium,1,0.03361454272122317,29.149814049898804,MSW,Wednesday
2023-01-11,Power Line,1,0.02085061426949896,24.071476218915016,MSW,Wednesday
2023-01-11,Kobo,1,0.03651217832908531,31.102817895183414,MSW,Wednesday
2023-01-11,Ota Efun,1,0.013560943087671284,19.712871337012192,MSW,Wednesday
2023-01-11,Aregbe,1,0.011634727111926361,12.10333365991806,MSW,Wednesday
2023-01-11,Igbona,1,0.023851454683870787,23.887461009830776,MSW,Wednesday
2023-01-11,MDS,1,0.0296970954491644,16.782628593189756,MSW,Wednesday
2023-01-12,Owode ede,1,0.019435385432843844,17.06069534879433,MSW,Thursday
2023-01-12,Abere,1,0.014582571393099365,28.954654049267006,MSW,Thursday
2023-01-12,Old Garage,1,0.022113580613774185,22.44052141068461,MSW,Thursday
2023-01-12,Alekuwodo,1,0.03586351266856327,17.704685373111566,MSW,Thursday
2023-01-12,Odi olowo,1,0.029239344831598714,26.818024157125585,MSW,Thursday
2023-01-12,Ilesha Garage,1,0.03619513952962452,29.907902978639594,MSW,Thursday
2023-01-12,Ilesha Road,1,0.022461990465865958,25.221031910686087,MSW,Thursday
2023-01-12,Oja Oba,1,0.033335246705546426,30.67821654452284,MSW,Thursday
2023-01-12,Station Road,1,0.0257519355793924,29.91641136450043,MSW,Thursday
2023-01-12,Dada Estate,1,0.03094868607331972,29.51899418293428,MSW,Thursday
2023-01-12,Dele Yes Sir,1,0.026008295410317094,37.400161287549835,MSW,Thursday
2023-01-12,West Byebass,1,0.027870288266998812,30.45875804273565,MSW,Thursday
2023-01-12,Testing Ground,1,0.02817533617568655,22.098206704656814,MSW,Thursday
2023-01-12,Stadium,1,0.014193103687695805,28.78244516977508,MSW,Thursday
2023-01-12,Power Line,1,0.037321638475859654,21.2235701406925,MSW,Thursday
2023-01-12,Kobo,1,0.029687325002548504,32.42440147103703,MSW,Thursday
2023-01-12,Ota Efun,1,0.030559817924588215,37.369894000548584,MSW,Thursday
2023-01-12,Aregbe,1,0.024810610157670516,20.74350847672801,MSW,Thursday
2023-01-12,Igbona,1,0.027670058643577,10.888706900820548,MSW,Thursday
2023-01-12,MDS,1,0.028988366971233262,16.12881083634091,MSW,Thursday
2023-01-13,Owode ede,1,0.019660857929774456,34.93955242244469,MSW,Friday
2023-01-13,Abere,1,0.03923738302274928,13.483806812096178,MSW,Friday
2023-01-13,Old Garage,1,0.013633125235306149,29.059630309039647,MSW,Friday
2023-01-13,Alekuwodo,1,0.03645359356295307,17.963194008134334,MSW,Friday
2023-01-13,Odi olowo,1,0.0365795628441809,37.989974591121516,MSW,Friday
2023-01-13,Ilesha Garage,1,0.039435891438104255,32.028351708831934,MSW,Friday
2023-01-13,Ilesha Road,1,0.026980609907065217,20.034741742629585,MSW,Friday
2023-01-13,Oja Oba,1,0.015219776972962257,37.98887129869933,MSW,Friday
2023-01-13,Station Road,1,0.033850150592219956,34.08978576587404,MSW,Friday
2023-01-13,Dada Estate,1,0.03797982047067962,33.904866219200585,MSW,Friday
2023-01-13,Dele Yes Sir,1,0.029885672171652153,28.938194848716986,MSW,Friday
2023-01-13,West Byebass,1,0.028939300690507527,36.01365083018075,MSW,Friday
2023-01-13,Testing Ground,1,0.02737189786747453,14.986124696571608,MSW,Friday
2023-01-13,Stadium,1,0.025359070198874033,23.371186399632762,MSW,Friday
2023-01-13,Power Line,1,0.015741375146392848,21.41291352714945,MSW,Friday
2023-01-13,Kobo,1,0.0181928928373917,13.150738927590226,MSW,Friday
2023-01-13,Ota Efun,1,0.02296056692453317,21.458633867846135,MSW,Friday
2023-01-13,Aregbe,1,0.02980640816958849,36.26445134537712,MSW,Friday
2023-01-13,Igbona,1,0.03903589323015741,27.280843164549065,MSW,Friday
2023-01-13,MDS,1,0.011580282894239596,27.228218091353988,MSW,Friday
2023-01-14,Owode ede,1,0.02135230509309661,25.569492900764473,MSW,Saturday
2023-01-14,Abere,1,0.022694821610957865,21.79763241835093,MSW,Saturday
2023-01-14,Old Garage,1,0.023433948020135827,39.395884270163634,MSW,Saturday
2023-01-14,Alekuwodo,1,0.02694404159904553,17.130664139131895,MSW,Saturday
2023-01-14,Odi olowo,1,0.027476185233739556,24.69906514777664,MSW,Saturday
2023-01-14,Ilesha Garage,1,0.02198996732821365,32.24750906986263,MSW,Saturday
2023-01-14,Ilesha Road,1,0.018137734755429284,10.916515496940356,MSW,Saturday
2023-01-14,Oja Oba,1,0.02725137183067259,30.81508365472239,MSW,Saturday
2023-01-14,Station Road,1,0.03925694937293525,29.575557982189526,MSW,Saturday
2023-01-14,Dada Estate,1,0.035641979904242845,25.185802355240334,MSW,Saturday
2023-01-14,Dele Yes Sir,1,0.039300864533878654,14.930101353232388,MSW,Saturday
2023-01-14,West Byebass,1,0.03912446789778191,13.660336703282818,MSW,Saturday
2023-01-14,Testing Ground,1,0.01115250196706118,25.914879348626982,MSW,Saturday
2023-01-14,Stadium,1,0.02004239470324182,15.491486283484129,MSW,Saturday
2023-01-14,Power Line,1,0.015329714987427509,39.92160954830805,MSW,Saturday
2023-01-14,Kobo,1,0.01802349063599079,24.077254991717417,MSW,Saturday
2023-01-14,Ota Efun,1,0.013113405357506455,15.720904096903922,MSW,Saturday
2023-01-14,Aregbe,1,0.022448018470714773,25.306450500621985,MSW,Saturday
2023-01-14,Igbona,1,0.027240864889297813,12.500267905485234,MSW,Saturday
2023-01-14,MDS,1,0.03220348602561067,31.000005380623445,MSW,Saturday
2023-01-15,Owode ede,1,0.027297479063412552,27.01024783659661,MSW,Sunday
2023-01-15,Abere,1,0.02341790688024746,29.743931835585744,MSW,Sunday
2023-01-15,Old Garage,1,0.03897381711939072,22.946689701910707,MSW,Sunday
2023-01-15,Alekuwodo,1,0.035934199574025126,30.542992769655967,MSW,Sunday
2023-01-15,Odi olowo,1,0.015987981794167827,38.55128719865854,MSW,Sunday
2023-01-15,Ilesha Garage,1,0.035238065642728356,13.90159668371712,MSW,Sunday
2023-01-15,Ilesha Road,1,0.011621558733209537,34.81251073034183,MSW,Sunday
2023-01-15,Oja Oba,1,0.025353645191947112,29.886400968396998,MSW,Sunday
2023-01-15,Station Road,1,0.03723581787368413,16.466342321519033,MSW,Sunday
2023-01-15,Dada Estate,1,0.028623579816035465,28.36539939204212,MSW,Sunday
2023-01-15,Dele Yes Sir,1,0.01839119554595351,30.502948446947624,MSW,Sunday
2023-01-15,West Byebass,1,0.020967515439205758,14.162248473887562,MSW,Sunday
2023-01-15,Testing Ground,1,0.029061173639262354,30.53572702493025,MSW,Sunday
2023-01-15,Stadium,1,0.01972162046014389,30.409048933069972,MSW,Sunday
2023-01-15,Power Line,1,0.019356469968267148,34.30064742692305,MSW,Sunday
2023-01-15,Kobo,1,0.014397892754603864,24.219049327194448,MSW,Sunday
2023-01-15,Ota Efun,1,0.037480763239294425,28.47323754418151,MSW,Sunday
2023-01-15,Aregbe,1,0.019116157899899726,16.79157927453383,MSW,Sunday
2023-01-15,Igbona,1,0.017369456087396817,28.294191479897666,MSW,Sunday
2023-01-15,MDS,1,0.017721414486142718,22.33555297392101,MSW,Sunday
2023-01-16,Owode ede,1,0.021999789106048703,26.468114595645087,MSW,Monday
2023-01-16,Abere,1,0.0162737567782689,24.147390455812044,MSW,Monday
2023-01-16,Old Garage,1,0.012058346428248878,29.708273796839933,MSW,Monday
2023-01-16,Alekuwodo,1,0.03133454173467013,18.65370878470008,MSW,Monday
2023-01-16,Odi olowo,1,0.01417983977831932,35.884675062026915,MSW,Monday
2023-01-16,Ilesha Garage,1,0.01010982681978921,21.172399902079505,MSW,Monday
2023-01-16,Ilesha Road,1,0.021009259562660188,35.00672148217028,MSW,Monday
2023-01-16,Oja Oba,1,0.02396717081705835,38.756605461686654,MSW,Monday
2023-01-16,Station Road,1,0.01960269816779673,24.946783883264654,MSW,Monday
2023-01-16,Dada Estate,1,0.01446221340867853,30.316055733853982,MSW,Monday
2023-01-16,Dele Yes Sir,1,0.031692405309076674,15.484198041711446,MSW,Monday
2023-01-16,West Byebass,1,0.014035203017987786,34.22878942570509,MSW,Monday
2023-01-16,Testing Ground,1,0.037068985588242065,27.82743457178502,MSW,Monday
2023-01-16,Stadium,1,0.03354503081023088,21.78135764116531,MSW,Monday
2023-01-16,Power Line,1,0.011873174288205812,11.905279720773517,MSW,Monday
2023-01-16,Kobo,1,0.024671267773345544,35.04560933429054,MSW,Monday
2023-01-16,Ota Efun,1,0.016503976998833526,23.2253248621166,MSW,Monday
2023-01-16,Aregbe,1,0.020969450141368078,10.819743295067193,MSW,Monday
2023-01-16,Igbona,1,0.03775921796931799,12.56396664537372,MSW,Monday
2023-01-16,MDS,1,0.01966951832989812,38.32680236020125,MSW,Monday
2023-01-17,Owode ede,1,0.015310857275348214,28.593989146847825,MSW,Tuesday
2023-01-17,Abere,1,0.016918322938720802,14.603865743915012,MSW,Tuesday
2023-01-17,Old Garage,1,0.030281974371155894,20.678742452029343,MSW,Tuesday
2023-01-17,Alekuwodo,1,0.025226921351993097,20.520606002058944,MSW,Tuesday
2023-01-17,Odi olowo,1,0.017562858377315395,33.81973383225873,MSW,Tuesday
2023-01-17,Ilesha Garage,1,0.013436540189388346,37.66637285943,MSW,Tuesday
2023-01-17,Ilesha Road,1,0.014050156772891006,21.598398602021188,MSW,Tuesday
2023-01-17,Oja Oba,1,0.03968967389141845,24.133473179855397,MSW,Tuesday
2023-01-17,Station Road,1,0.019735337794491208,20.074030758507902,MSW,Tuesday
2023-01-17,Dada Estate,1,0.03012087436549911,29.190862344563826,MSW,Tuesday
2023-01-17,Dele Yes Sir,1,0.03165194738805255,33.55401662524014,MSW,Tuesday
2023-01-17,West Byebass,1,0.02030849179262001,30.10102563726878,MSW,Tuesday
2023-01-17,Testing Ground,1,0.02844064739417064,36.692960542444034,MSW,Tuesday
2023-01-17,Stadium,1,0.019875547681128217,17.65888148743246,MSW,Tuesday
2023-01-17,Power Line,1,0.02372594793804543,17.531310510283856,MSW,Tuesday
